"No.","Time","Source","Destination","Protocol","Length","Info"
"107","10.791286674","192.168.56.101","192.168.56.102","TCP","60","35500  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"108","10.791295756","192.168.56.102","192.168.56.101","TCP","58","55479  >  61532 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"109","10.791369726","192.168.56.102","192.168.56.101","TCP","58","55479  >  4444 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"110","10.791405725","192.168.56.102","192.168.56.101","TCP","58","55479  >  65000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"111","10.791421921","192.168.56.101","192.168.56.102","TCP","60","5903  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"112","10.791454183","192.168.56.102","192.168.56.101","TCP","58","55479  >  2121 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"113","10.791479760","192.168.56.102","192.168.56.101","TCP","58","55479  >  1641 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"114","10.791511424","192.168.56.102","192.168.56.101","TCP","58","55479  >  50000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"115","10.791535946","192.168.56.102","192.168.56.101","TCP","58","55479  >  2020 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"116","10.791570856","192.168.56.102","192.168.56.101","TCP","58","55479  >  2030 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"117","10.791595993","192.168.56.102","192.168.56.101","TCP","58","55479  >  2910 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"118","10.791628717","192.168.56.102","192.168.56.101","TCP","58","55479  >  5906 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"119","10.791652413","192.168.56.102","192.168.56.101","TCP","58","55479  >  1164 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"120","10.791684248","192.168.56.102","192.168.56.101","TCP","58","55479  >  1106 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"121","10.791708487","192.168.56.102","192.168.56.101","TCP","58","55479  >  3211 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
